class_id,teacher_id,name,time
2349,688938,class 1,MW 1530-1645
3599,641631,class 2,MW 1530-1645
6211,786214,class 3,MW 1530-1645
8663,197923,class 4,MW 1530-1645
5357,748959,class 5,MW 1530-1645
1139,487544,class 6,MW 1530-1645
4198,415814,class 7,MW 1530-1645
2414,173915,class 8,MW 1530-1645
6426,258133,class 9,MW 1530-1645
7225,793639,class 10,MW 1530-1645
2618,258133,class 11,MW 1530-1645
5297,642152,class 12,MW 1530-1645
1992,562489,class 13,MW 1530-1645
9944,223682,class 14,MW 1530-1645
3448,818789,class 15,MW 1530-1645
5261,913123,class 16,MW 1530-1645
3792,197923,class 17,MW 1530-1645
2137,292631,class 18,MW 1530-1645
5615,763263,class 19,MW 1530-1645
1855,415814,class 20,MW 1530-1645
7678,173915,class 21,MW 1530-1645
3272,616715,class 22,MW 1530-1645
1182,634195,class 23,MW 1530-1645
3919,223682,class 24,MW 1530-1645
5587,112555,class 25,MW 1530-1645
4917,763263,class 26,MW 1530-1645
3527,672273,class 27,MW 1530-1645
4615,449969,class 28,MW 1530-1645
5741,126421,class 29,MW 1530-1645
2867,235917,class 30,MW 1530-1645
2697,244666,class 31,MW 1530-1645
4677,793639,class 32,MW 1530-1645
2813,876877,class 33,MW 1530-1645
5376,235917,class 34,MW 1530-1645
8196,748959,class 35,MW 1530-1645
8945,913123,class 36,MW 1530-1645
2721,562489,class 37,MW 1530-1645
4791,838464,class 38,MW 1530-1645
7831,326466,class 39,MW 1530-1645
9145,184795,class 40,MW 1530-1645
1942,323912,class 41,MW 1530-1645
1175,336739,class 42,MW 1530-1645
9942,298774,class 43,MW 1530-1645
6387,336739,class 44,MW 1530-1645
1557,178765,class 45,MW 1530-1645
4116,688938,class 46,MW 1530-1645
9586,165726,class 47,MW 1530-1645
1523,648451,class 48,MW 1530-1645
8293,763263,class 49,MW 1530-1645
8422,562489,class 50,MW 1530-1645
3974,447398,class 51,MW 1530-1645
3342,447398,class 52,MW 1530-1645
4421,513249,class 53,MW 1530-1645
1524,763263,class 54,MW 1530-1645
4134,326466,class 55,MW 1530-1645
4835,454321,class 56,MW 1530-1645
3436,449969,class 57,MW 1530-1645
3956,838464,class 58,MW 1530-1645
2979,793639,class 59,MW 1530-1645
2962,336739,class 60,MW 1530-1645
2996,642152,class 61,MW 1530-1645
9412,786214,class 62,MW 1530-1645
1166,748959,class 63,MW 1530-1645
7446,641631,class 64,MW 1530-1645
2353,642152,class 65,MW 1530-1645
6243,242556,class 66,MW 1530-1645
8685,133651,class 67,MW 1530-1645
6928,235917,class 68,MW 1530-1645
2329,642152,class 69,MW 1530-1645
7412,187298,class 70,MW 1530-1645
1849,344691,class 71,MW 1530-1645
9528,786214,class 72,MW 1530-1645
7559,976337,class 73,MW 1530-1645
2646,634195,class 74,MW 1530-1645
5398,449264,class 75,MW 1530-1645
7411,415814,class 76,MW 1530-1645
6413,425816,class 77,MW 1530-1645
9498,258133,class 78,MW 1530-1645
2822,173915,class 79,MW 1530-1645
5573,184795,class 80,MW 1530-1645
7958,976337,class 81,MW 1530-1645
1836,838464,class 82,MW 1530-1645
5914,958567,class 83,MW 1530-1645
9628,562489,class 84,MW 1530-1645
1579,449264,class 85,MW 1530-1645
6991,898824,class 86,MW 1530-1645
4666,487544,class 87,MW 1530-1645
7349,648451,class 88,MW 1530-1645
6219,326466,class 89,MW 1530-1645
2875,235917,class 90,MW 1530-1645
3775,838464,class 91,MW 1530-1645
2674,323912,class 92,MW 1530-1645
3452,415814,class 93,MW 1530-1645
5348,688938,class 94,MW 1530-1645
6776,454321,class 95,MW 1530-1645
7834,184795,class 96,MW 1530-1645
